Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
tig	BW25113_RS02260	450589	451887	trigger factor
wbbK	BW25113_RS10615	2096872	2097990	putative glycosyltransferase WbbK
ykgO	BW25113_RS01520	308085	308225	50S ribosomal subunit protein L36B
lacI	BW25113_RS01775	360661	361743	DNA-binding transcriptional repressor LacI
bglB	BW25113_RS19345	3895649	3897061	6-phospho-&beta;-glucosidase B
yhfG	BW25113_RS17430	3484812	3484979	DUF2559 domain-containing protein YhfG
dpaA	BW25113_RS01135	241552	242292	peptidoglycan <i>meso</i>-diaminopimelic acid protein amidase A
yihT	BW25113_RS20140	4065133	4066011	6-deoxy-6-sulfofructose-1-phosphate aldolase
pyrC	BW25113_RS05535	1117017	1118063	dihydroorotase
yqiJ	BW25113_RS15830	3185567	3186196	DUF1449 domain-containing inner membrane protein YqiJ
ybhK	BW25113_RS04050	811195	812103	putative transferase YbhK
umuD	BW25113_RS06160	1226223	1226642	DNA polymerase V protein UmuD
RS03865	BW25113_RS03865	776299	776374	tRNA-Lys
yghR	BW25113_RS15500	3125813	3126571	putative ATP-binding protein YghR
RS06460	BW25113_RS06460	1289882	1290778	IS4 family transposase
RS06415	BW25113_RS06415	1282700	1282784	tRNA-Tyr
osmC	BW25113_RS07770	1550882	1551313	osmotically inducible peroxiredoxin OsmC
ydcD	BW25113_RS07650	1524179	1524661	uncharacterized protein YdcD
RS19520	BW25113_RS19520	3935168	3936709	16S ribosomal RNA
ydjA	BW25113_RS09235	1842382	1842933	putative oxidoreductase YdjA
yccE	BW25113_RS05205	1059492	1060748	uncharacterized protein YccE
yahN	BW25113_RS01690	341377	342048	putative amino acid exporter YahN
fdnH	BW25113_RS07735	1544718	1545602	formate dehydrogenase N subunit &beta;
rlmF	BW25113_RS04190	837788	838714	23S rRNA m<sup>6</sup>A1618 methyltransferase
cbrC	BW25113_RS19325	3891382	3891969	PF03691 family colicin E2 tolerance protein CbrC
ybbY	BW25113_RS02635	536021	537322	putative purine transporter
RS23320	BW25113_RS23320	360355	360654	relaxase/mobilization nuclease domain-containing protein
yddY	BW25113_RS25995	1561435	1561476	protein YddY
marA	BW25113_RS08025	1613831	1614214	DNA-binding transcriptional dual regulator MarA
allC	BW25113_RS02650	539513	540748	allantoate amidohydrolase
ftsN	BW25113_RS20405	4112308	4113267	cell division protein FtsN
proW	BW25113_RS13940	2799369	2800433	glycine betaine ABC transporter membrane subunit ProW
mqsR	BW25113_RS15685	3161607	3161903	mRNA interferase toxin MqsR
rlmN	BW25113_RS13130	2636488	2637642	23S rRNA m<sup>2</sup>A2503 methyltransferase/tRNA m<sup>2</sup>A37 methyltransferase
gatA	BW25113_RS10925	2168076	2168528	galactitol-specific PTS enzyme IIA component
yahF	BW25113_RS01650	332489	334036	putative acyl-CoA synthetase YahF
ybcK	BW25113_RS02800	564358	565884	DLP12 prophage; putative recombinase YbcK
glrR	BW25113_RS13315	2680828	2682162	DNA-binding transcriptional activator GlrR
rob	BW25113_RS22900	4624258	4625127	DNA-binding transcriptional dual regulator Rob
fixB	BW25113_RS00220	43188	44129	putative electron transfer flavoprotein FixB
RS01195	BW25113_RS01195	250168	250689	peptide chain release factor H
hokA	BW25113_RS18455	3713808	3713960	small toxic polypeptide
glcA	BW25113_RS15450	3112956	3114638	glycolate/lactate:H<sup>+</sup> symporter GlcA
yidA	BW25113_RS19215	3869500	3870312	sugar phosphatase YidA
cmoA	BW25113_RS09805	1946959	1947702	carboxy-<i>S</i>-adenosyl-L-methionine synthase
yhdZ	BW25113_RS16965	3415795	3416553	putative ABC transporter ATP-binding subunit YhdZ
psuT	BW25113_RS11295	2249564	2250814	putative pseudouridine transporter
mug	BW25113_RS15935	3208326	3208832	stationary phase mismatch/uracil DNA glycosylase
psuG	BW25113_RS11300	2250908	2251846	pseudouridine-5'-phosphate glycosidase
rspR	BW25113_RS08075	1622609	1623295	DNA-binding transcriptional repressor RspR
djlC	BW25113_RS03370	675668	677119	co-chaperone DjlC
nanX	BW25113_RS22215	4493875	4495092	2,7-anhydro-<i>N</i>-acetylneuraminate transporter NanX
rhoL	BW25113_RS19635	3959591	3959692	<i>rho</i> operon leader peptide
rssB	BW25113_RS06440	1285698	1286711	regulator of RpoS
mltA	BW25113_RS14630	2939440	2940537	membrane-bound lytic murein transglycosylase A
leuA	BW25113_RS00370	78445	80016	2-isopropylmalate synthase
hisD	BW25113_RS10555	2084578	2085882	histidinal/histidinol dehydrogenase
ynjD	BW25113_RS09185	1833004	1833657	putative ABC transporter ATP-binding protein YnjD
cadB	BW25113_RS21470	4348514	4349848	lysine:cadaverine antiporter
dppD	BW25113_RS18365	3696225	3697208	dipeptide ABC transporter ATP binding subunit DppD
yegV	BW25113_RS10955	2174575	2175540	putative sugar kinase YegV
mutY	BW25113_RS15380	3096372	3097424	adenine DNA glycosylase
uhpC	BW25113_RS19050	3840665	3841984	inner membrane protein sensing glucose-6-phosphate
damX	BW25113_RS17555	3509379	3510665	cell division protein DamX
kbaZ	BW25113_RS16240	3272273	3273553	putative tagatose-1,6-bisphosphate aldolase 1 chaperone
secM	BW25113_RS00485	104192	104704	SecA translation regulator
folP	BW25113_RS16470	3317422	3318270	dihydropteroate synthase
pheA	BW25113_RS13570	2731104	2732264	fused chorismate mutase/prephenate dehydratase
RS23070	BW25113_RS23070	1092840	1092976	RtT sRNA
pgk	BW25113_RS15205	3064818	3065981	phosphoglycerate kinase
ygbI	BW25113_RS14235	2853826	2854593	DNA-binding transcriptional repressor YgbI
bdm	BW25113_RS07765	1550322	1550537	biofilm-dependent modulation protein
yneK	BW25113_RS08005	1610020	1611135	protein YneK
ysaB	BW25113_RS18480	3718773	3719072	putative lipoprotein YsaB
RS24990	BW25113_RS24990	716039	716296	hypothetical protein
hha	BW25113_RS02375	475546	475764	haemolysin expression-modulating protein Hha
mdtQ	BW25113_RS11155	2220802	2222237	multidrug resistance outer membrane protein MdtQ
purH	BW25113_RS20785	4195871	4197460	bifunctional AICAR transformylase/IMP cyclohydrolase
ykgM	BW25113_RS01525	308225	308488	50S ribosomal subunit protein L31B
ykgL	BW25113_RS01515	307823	308050	uncharacterized protein YkgL
hisC	BW25113_RS10560	2085879	2086949	histidinol-phosphate aminotransferase
psiE	BW25113_RS20920	4230253	4230663	phosphate-starvation-inducible protein PsiE
ybhL	BW25113_RS04085	815340	816044	Bax1-I family protein YbhL
evgS	BW25113_RS12365	2477853	2481446	sensor histidine kinase EvgS
polB	BW25113_RS00305	63429	65780	DNA polymerase II
frwC	BW25113_RS20490	4132458	4133537	putative PTS enzyme IIC component FrwC
yeaL	BW25113_RS09360	1868609	1869055	DUF441 domain-containing inner membrane protein YeaL
yjhP	BW25113_RS22375	4522254	4523000	KpLE2 phage-like element; putative methyltransferase YjhP
glaH	BW25113_RS13845	2782344	2783321	glutarate dioxygenase GlaH
csqR	BW25113_RS20155	4068029	4068814	DNA-binding transcriptional dual regulator CsqR
sgrR	BW25113_RS00340	72131	73786	DNA-binding transcriptional dual regulator SgrR
entD	BW25113_RS03030	604915	605535	phosphopantetheinyl transferase EntD
mltB	BW25113_RS14060	2817850	2818935	membrane-bound lytic murein transglycosylase B
yjaG	BW25113_RS20750	4189432	4190022	DUF416 domain-containing protein YjaG
fimC	BW25113_RS22455	4534121	4534846	type 1 fimbriae periplasmic chaperone
rpiA	BW25113_RS15145	3052025	3052684	ribose-5-phosphate isomerase A
yfcV	BW25113_RS12205	2448562	2449125	putative fimbrial protein YfcV
flhA	BW25113_RS09850	1957229	1959307	flagellar biosynthesis protein FlhA
fliM	BW25113_RS10170	2013568	2014572	flagellar motor switch protein FliM
RS20635	BW25113_RS20635	4165400	4165484	tRNA-Tyr
RS07655	BW25113_RS07655	1524843	1525987	ISAs1 family transposase
macA	BW25113_RS04560	914691	915806	ABC-type tripartite efflux pump membrane fusion protein
tmaR	BW25113_RS10490	2072513	2072842	PTS system regulator TmaR
yeiP	BW25113_RS11335	2258929	2259501	elongation factor P-like protein YeiP
btsS	BW25113_RS11090	2206438	2208123	high-affinity pyruvate receptor
bamB	BW25113_RS13105	2630833	2632011	outer membrane protein assembly factor BamB
yegS	BW25113_RS10885	2162193	2163092	lipid kinase YegS
fadK	BW25113_RS08900	1777288	1778934	medium-chain-fatty-acid&mdash;CoA ligase
kdpD	BW25113_RS03595	717186	719870	sensor histidine kinase KdpD
sohB	BW25113_RS06630	1323589	1324638	S49 peptidase family protein
ygcO	BW25113_RS14395	2887278	2887538	putative 4Fe-4S cluster-containing protein
ykgV	BW25113_RS01430	290629	290853	CP4-6 prophage; protein YkgV
ydfO	BW25113_RS08125	1631304	1631714	Qin prophage; DUF1398 domain-containing protein YdfO
RS16990	BW25113_RS16990	3420317	3420392	tRNA-Ala
gudX	BW25113_RS14500	2912765	2914105	glucarate dehydratase-related protein
pphB	BW25113_RS14230	2853119	2853775	phosphoprotein phosphatase 2
ulaD	BW25113_RS21800	4412003	4412653	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
ygfF	BW25113_RS15090	3038517	3039260	putative oxidoreductase YgfF
aroA	BW25113_RS04710	954268	955551	3-phosphoshikimate 1-carboxyvinyltransferase
kefB	BW25113_RS17365	3472161	3473966	K+ : H+ antiporter KefB
adiC	BW25113_RS21370	4325511	4326848	arginine:agmatine antiporter
yccF	BW25113_RS04985	1019358	1019804	PF03733 family inner membrane protein YccF
miaA	BW25113_RS21675	4389069	4390019	tRNA dimethylallyltransferase
yiiG	BW25113_RS20225	4080362	4081417	DUF3829 domain-containing lipoprotein YiiG
speD	BW25113_RS00600	131275	132069	<i>S</i>-adenosylmethionine decarboxylase proenzyme
hcaC	BW25113_RS13245	2664267	2664587	putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit
rpnB	BW25113_RS12040	2416128	2417018	recombination-promoting nuclease RpnB
nac	BW25113_RS10380	2054497	2055414	DNA-binding transcriptional dual regulator Nac
nanR	BW25113_RS16725	3367057	3367848	NanR
rplE	BW25113_RS17150	3440258	3440797	50S ribosomal protein L5
yoaJ	BW25113_RS25115	1873131	1873205	uncharacterized protein YoaJ
norR	BW25113_RS14100	2824134	2825648	DNA-binding transcriptional dual regulator NorR
hflD	BW25113_RS05890	1187446	1188087	lysogenization regulator
dosP	BW25113_RS07805	1557591	1559990	oxygen-sensing c-di-GMP phosphodiesterase DosP
infC	BW25113_RS08990	1794353	1794895	translation initiation factor IF-3
ypjF	BW25113_RS13790	2770812	2771141	type IV toxin-antitoxin system toxin YpjF
rayT	BW25113_RS01155	244124	244621	REP-associated tyrosine transposase
RS25065	BW25113_RS25065	1423053	1423241	Ail/Lom family outer membrane beta-barrel protein
yghJ	BW25113_RS15440	3107909	3112471	putative mayloidogenic protein
yicC	BW25113_RS18920	3810036	3810899	putative RNase adaptor protein YicC
slyB	BW25113_RS08590	1714133	1714600	outer membrane lipoprotein SlyB
wcaA	BW25113_RS10750	2126039	2126878	UDP-glucuronate:2-O-Ac-beta-D-Gal-(1->3)-alpha-L-Fuc-(1->4)-2/3-O-Ac-alpha-L-Fuc-(1->3)-beta-D-Glc-PP-Und beta-(1,3)-glucuronosyltranferase
rprA	BW25113_RS23110	1764629	1764736	antisense sRNA RprA
ybjI	BW25113_RS04380	880772	881587	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase
proS	BW25113_RS00975	213544	215262	proline&mdash;tRNA ligase
lldR	BW25113_RS18720	3772414	3773190	DNA-binding transcriptional dual regulator LldR
aroC	BW25113_RS12160	2439867	2440952	chorismate synthase
hybA	BW25113_RS15560	3137513	3138499	hydrogenase 2 iron-sulfur protein
gspA	BW25113_RS17225	3447288	3448757	type II secretion system protein GspA
rrf	BW25113_RS16970	3416784	3416899	5S ribosomal RNA
ppc	BW25113_RS20525	4140375	4143026	phosphoenolpyruvate carboxylase
sdhE	BW25113_RS15065	3034163	3034429	FAD assembly factor
yaaU	BW25113_RS00235	45807	47138	putative transporter YaaU
RS03250	BW25113_RS03250	653487	654274	deaminated glutathione amidase
alkA	BW25113_RS10795	2140173	2141021	DNA-3-methyladenine glycosylase 2
ibsD	BW25113_RS25750	3188125	3188184	putative toxic peptide IbsD
RS21635	BW25113_RS21635	4382177	4382252	tRNA-Gly
yraI	BW25113_RS16295	3281449	3282144	putative fimbrial chaperone YraI
torZ	BW25113_RS09815	1948835	1951264	trimethylamine <i>N</i>-oxide reductase 2
wzc	BW25113_RS10755	2126971	2129133	protein-tyrosine kinase Wzc
aphA	BW25113_RS21060	4259342	4260055	acid phosphatase / phosphotransferase
sfmF	BW25113_RS02740	558786	559301	putative fimbrial protein SfmF
elaD	BW25113_RS11855	2376192	2377403	protease ElaD
yhfA	BW25113_RS17395	3478773	3479177	OsmC family protein YhfA
udp	BW25113_RS19890	4009791	4010552	uridine phosphorylase
yejG	BW25113_RS11385	2271372	2271716	protein YejG
flgI	BW25113_RS05625	1131730	1132827	flagellar P-ring protein
gpr	BW25113_RS15585	3141256	3142296	L-glyceraldehyde 3-phosphate reductase
trkA	BW25113_RS17055	3429877	3431253	NAD-binding component of Trk potassium transporters
yidH	BW25113_RS19110	3849320	3849667	DUF202 domain-containing inner membrane protein YidH
gltS	BW25113_RS18965	3820820	3822025	glutamate:sodium symporter
ligA	BW25113_RS12580	2521520	2523535	DNA ligase
dedD	BW25113_RS12085	2424501	2425163	cell division protein DedD
napH	BW25113_RS11500	2292194	2293057	ferredoxin-type protein NapH
ycfH	BW25113_RS05725	1152233	1153030	putative metal-dependent hydrolase YcfH
dhaR	BW25113_RS06250	1246522	1248441	DNA-binding transcriptional dual regulator DhaR
ogt	BW25113_RS07000	1393978	1394493	methylated-DNA&mdash;[protein]-cysteine <i>S</i>-methyltransferase
bisC	BW25113_RS18425	3707421	3709754	biotin sulfoxide reductase
pagP	BW25113_RS03235	652013	652573	Lipid A palmitoyltransferase
RS01020	BW25113_RS01020	221987	222062	tRNA-Ala
yhdT	BW25113_RS16890	3400734	3400976	DUF997 domain-containing protein YhdT
dsbC	BW25113_RS15045	3031471	3032181	protein disulfide isomerase DsbC
hemN	BW25113_RS20060	4045405	4046778	coproporphyrinogen III dehydrogenase
rlmC	BW25113_RS04460	893974	895101	23S rRNA m<sup>5</sup>U747 methyltransferase
ycgM	BW25113_RS06145	1223535	1224194	putative isomerase/hydrolase
yfiR	BW25113_RS13590	2735234	2735752	DUF4154 domain-containing protein YfiR
yihA	BW25113_RS20050	4043493	4044125	GTP-binding protein YihA
yqaE	BW25113_RS13880	2790229	2790387	Pmp3 family protein YqaE
modB	BW25113_RS03970	791318	792007	molybdate ABC transporter membrane subunit
aroH	BW25113_RS08920	1782692	1783738	3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive
RS03570	BW25113_RS03570	712177	712326	winged helix-turn-helix domain-containing protein
RS23265	BW25113_RS23265	275642	275815	IS30 family transposase
rhlB	BW25113_RS19625	3957725	3958990	ATP-dependent RNA helicase RhlB
ygbM	BW25113_RS14255	2857595	2858371	putative 2-oxo-tetronate isomerase YgbM
ymgF	BW25113_RS06070	1214439	1214657	division septum component YmgF
yaiY	BW25113_RS01960	394481	394789	DUF2755 domain-containing inner membrane protein YaiY
ypjK	BW25113_RS13745	2763804	2764040	CP4-57 prophage; uncharacterized protein YpjK
rpmA	BW25113_RS16510	3326221	3326478	50S ribosomal protein L27
nohD	BW25113_RS02900	576290	576835	DLP12 prophage; putative DNA-packaging protein NohD
ydfU	BW25113_RS08180	1637512	1638561	Qin prophage; protein YdfU
RS07140	BW25113_RS07140	1417009	1417461	DUF1627 domain-containing protein
hyfJ	BW25113_RS12990	2604816	2605229	putative hydrogenase 4 assembly protein
gloB	BW25113_RS01065	230514	231269	hydroxyacylglutathione hydrolase GloB
ttdA	BW25113_RS15900	3199822	3200733	L(+)-tartrate dehydratase subunit &alpha;
bacA	BW25113_RS15880	3196669	3197490	undecaprenyl pyrophosphate phosphatase
mcrB	BW25113_RS22625	4567775	4569154	5-methylcytosine-specific restriction endonuclease subunit McrB
csgG	BW25113_RS05395	1096307	1097140	curli secretion channel
yedR	BW25113_RS10255	2026600	2026965	cell division protein DrpB
cra	BW25113_RS00400	84515	85519	DNA-binding transcriptional dual regulator Cra
sspA	BW25113_RS16740	3370141	3370779	stringent starvation protein A
mqo	BW25113_RS11535	2298587	2300233	malate:quinone oxidoreductase
RS20185	BW25113_RS20185	4073087	4073329	hypothetical protein
yoaE	BW25113_RS09500	1894286	1895842	TerC family inner membrane protein YoaE
yabR	BW25113_RS25405	81954	81998	protein YabR
rlmL	BW25113_RS04915	1003300	1005408	fused 23S rRNA m<sup>2</sup>G2445 methyltransferase and 23S rRNA m<sup>7</sup>G2069 methyltransferase
chbF	BW25113_RS09070	1811405	1812757	monoacetylchitobiose-6-phosphate hydrolase
arsB	BW25113_RS18145	3642295	3643584	arsenite/antimonite:H<sup>+</sup> antiporter
RS13530	BW25113_RS13530	2722728	2722803	tRNA-Glu
rbsK	BW25113_RS19500	3930654	3931583	ribokinase
ydcU	BW25113_RS07570	1508088	1509029	putative ABC transporter membrane subunit YdcU
argD	BW25113_RS17415	3482319	3483539	<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase
yigL	BW25113_RS19865	4003560	4004360	phosphosugar phosphatase YigL
yejK	BW25113_RS11410	2276419	2277426	nucleoid-associated protein YejK
hyfI	BW25113_RS12985	2604065	2604823	hydrogenase 4 catalytic subunit HyfI
tus	BW25113_RS08425	1678516	1679445	DNA replication terminus site-binding protein
gudP	BW25113_RS14505	2914107	2915459	galactarate/D-glucarate transporter GudP
ybhD	BW25113_RS03990	795078	796031	putative DNA-binding transcriptional regulator YbhD
ggt	BW25113_RS17840	3578441	3580183	glutathione hydrolase proenzyme
ycjP	BW25113_RS06875	1368347	1369189	putative ABC transporter membrane subunit YcjP
ybdK	BW25113_RS03010	601721	602839	putative glutamate&mdash;cysteine ligase 2
yhaI	BW25113_RS16120	3246270	3246626	putative inner membrane protein
hipB	BW25113_RS07905	1586433	1586699	antitoxin/DNA-binding transcriptional repressor HipB
sstT	BW25113_RS16045	3233303	3234547	serine/threonine:Na+ symporter
yjcO	BW25113_RS21175	4286253	4286942	Sel1 repeat-containing protein YjcO
ynjB	BW25113_RS09175	1830330	1831496	putative ABC transporter periplasmic binding protein YnjB
cspA	BW25113_RS18450	3713409	3713621	cold shock protein CspA
yebC	BW25113_RS09775	1941668	1942408	putative transcriptional regulator YebC
fliQ	BW25113_RS10190	2016097	2016366	flagellar biosynthesis protein FliQ
ascB	BW25113_RS14135	2834349	2835773	6-phospho-&beta;-glucosidase AscB
insQ	BW25113_RS07520	1497914	1499122	putative RNA-guided DNA endonuclease InsQ
yncD	BW25113_RS07620	1515220	1517322	pyrroloquinoline quinone outer membrane transporter
gutM	BW25113_RS14085	2821980	2822339	DNA-binding transcriptional activator GutM
pphA	BW25113_RS09630	1916570	1917226	phosphoprotein phosphatase 1
queA	BW25113_RS02095	420467	421537	tRNA preQ134 S-adenosylmethionine ribosyltransferase-isomerase
galF	BW25113_RS10665	2106915	2107808	UTP:glucose-1-phosphate uridylyltransferase, low activity
tsr	BW25113_RS22675	4581474	4583129	methyl-accepting chemotaxis protein Tsr
phoH	BW25113_RS05315	1080724	1081512	phosphate starvation-inducible protein PhoH
nudK	BW25113_RS12860	2576262	2576837	GDP-mannose hydrolase
yadH	BW25113_RS00640	140189	140959	putative ABC transporter membrane subunit YadH
fepD	BW25113_RS03070	616641	617645	ferric enterobactin ABC transporter membrane subunit FebD
phnO	BW25113_RS21260	4304921	4305355	aminoalkylphosphonate <i>N</i>-acetyltransferase
RS20790	BW25113_RS20790	4198075	4199616	16S ribosomal RNA
ydcC	BW25113_RS07660	1526073	1527209	H repeat-associated putative transposase YdcC
yghF	BW25113_RS15425	3105413	3106408	putative type II secretion system C-type protein YghF
oxc	BW25113_RS12380	2483735	2485429	oxalyl-CoA decarboxylase
ybgS	BW25113_RS03905	780393	780773	PF13985 family protein YbgS
ygiZ	BW25113_RS15710	3165238	3165570	DUF2645 domain-containing inner membrane protein YgiZ
